There is 17 cells and 15 mutations.
ROOT:11
step:180,	mode:swap_subtrees,	new_error:4.80,	last_error:1.60,	acc_prob:0.000
step:181,	mode:swap_subtrees,	new_error:4.00,	last_error:1.60,	acc_prob:0.000
step:182,	mode:prune_reattach,	new_error:3.20,	last_error:1.60,	acc_prob:0.000
step:183,	mode:prune_reattach,	new_error:2.90,	last_error:1.60,	acc_prob:0.000
step:184,	mode:swap_nodes,	new_error:1.60,	last_error:1.60,	acc_prob:1.000
step:185,	mode:swap_nodes,	new_error:2.60,	last_error:1.60,	acc_prob:0.000
step:186,	mode:swap_nodes,	new_error:3.60,	last_error:1.60,	acc_prob:0.000
step:187,	mode:swap_nodes,	new_error:4.00,	last_error:1.60,	acc_prob:0.000
step:188,	mode:swap_nodes,	new_error:1.50,	last_error:1.50,	acc_prob:1.000
step:189,	mode:swap_nodes,	new_error:1.50,	last_error:1.50,	acc_prob:1.000
step:190,	mode:swap_nodes,	new_error:3.50,	last_error:1.50,	acc_prob:0.000
step:191,	mode:swap_nodes,	new_error:1.70,	last_error:1.50,	acc_prob:0.000
step:192,	mode:prune_reattach,	new_error:1.50,	last_error:1.50,	acc_prob:1.000
step:193,	mode:prune_reattach,	new_error:2.20,	last_error:1.50,	acc_prob:0.000
step:194,	mode:swap_subtrees,	new_error:1.50,	last_error:1.50,	acc_prob:1.000
step:195,	mode:prune_reattach,	new_error:4.10,	last_error:1.50,	acc_prob:0.000
step:196,	mode:swap_subtrees,	new_error:3.90,	last_error:1.50,	acc_prob:0.000
step:197,	mode:swap_subtrees,	new_error:3.20,	last_error:1.50,	acc_prob:0.000
step:198,	mode:swap_subtrees,	new_error:2.20,	last_error:1.50,	acc_prob:0.000
step:199,	mode:prune_reattach,	new_error:1.70,	last_error:1.50,	acc_prob:0.001
step:200,	mode:swap_nodes,	new_error:2.10,	last_error:1.50,	acc_prob:0.000
step:201,	mode:swap_nodes,	new_error:3.50,	last_error:1.50,	acc_prob:0.000
step:202,	mode:swap_nodes,	new_error:1.60,	last_error:1.50,	acc_prob:0.000
step:203,	mode:swap_nodes,	new_error:1.50,	last_error:1.50,	acc_prob:1.000
step:204,	mode:swap_nodes,	new_error:2.70,	last_error:1.50,	acc_prob:0.000
step:205,	mode:swap_nodes,	new_error:1.90,	last_error:1.50,	acc_prob:0.000
step:206,	mode:swap_nodes,	new_error:3.20,	last_error:1.50,	acc_prob:0.000
step:207,	mode:swap_nodes,	new_error:2.00,	last_error:1.50,	acc_prob:0.000
step:208,	mode:swap_subtrees,	new_error:2.20,	last_error:1.50,	acc_prob:0.000
step:209,	mode:prune_reattach,	new_error:1.50,	last_error:1.50,	acc_prob:1.000
step:210,	mode:prune_reattach,	new_error:5.20,	last_error:1.50,	acc_prob:0.000
step:211,	mode:swap_subtrees,	new_error:2.50,	last_error:1.50,	acc_prob:0.000
step:212,	mode:swap_subtrees,	new_error:1.50,	last_error:1.50,	acc_prob:1.000
step:213,	mode:prune_reattach,	new_error:2.20,	last_error:1.50,	acc_prob:0.000
step:214,	mode:swap_subtrees,	new_error:2.20,	last_error:1.50,	acc_prob:0.000
step:215,	mode:swap_subtrees,	new_error:1.40,	last_error:1.40,	acc_prob:1.000
step:216,	mode:swap_nodes,	new_error:2.00,	last_error:1.40,	acc_prob:0.000
step:217,	mode:swap_nodes,	new_error:3.90,	last_error:1.40,	acc_prob:0.000
step:218,	mode:swap_nodes,	new_error:3.80,	last_error:1.40,	acc_prob:0.000
step:219,	mode:swap_nodes,	new_error:3.90,	last_error:1.40,	acc_prob:0.000
step:220,	mode:swap_nodes,	new_error:1.60,	last_error:1.40,	acc_prob:0.000
step:221,	mode:swap_nodes,	new_error:1.60,	last_error:1.40,	acc_prob:0.000
step:222,	mode:swap_nodes,	new_error:3.10,	last_error:1.40,	acc_prob:0.000
step:223,	mode:swap_nodes,	new_error:3.10,	last_error:1.40,	acc_prob:0.000
step:224,	mode:prune_reattach,	new_error:1.40,	last_error:1.40,	acc_prob:1.000
step:225,	mode:swap_subtrees,	new_error:3.80,	last_error:1.40,	acc_prob:0.000
step:226,	mode:prune_reattach,	new_error:1.40,	last_error:1.40,	acc_prob:1.000
step:227,	mode:prune_reattach,	new_error:1.40,	last_error:1.40,	acc_prob:1.000
step:228,	mode:swap_subtrees,	new_error:2.30,	last_error:1.40,	acc_prob:0.000
step:229,	mode:swap_subtrees,	new_error:3.50,	last_error:1.40,	acc_prob:0.000
step:230,	mode:swap_subtrees,	new_error:2.60,	last_error:1.40,	acc_prob:0.000
step:231,	mode:swap_subtrees,	new_error:3.80,	last_error:1.40,	acc_prob:0.000
step:232,	mode:swap_nodes,	new_error:1.50,	last_error:1.40,	acc_prob:0.000
step:233,	mode:swap_nodes,	new_error:3.10,	last_error:1.40,	acc_prob:0.000
step:234,	mode:swap_nodes,	new_error:1.40,	last_error:1.40,	acc_prob:1.000
step:235,	mode:swap_nodes,	new_error:1.70,	last_error:1.40,	acc_prob:0.000
step:236,	mode:swap_nodes,	new_error:2.90,	last_error:1.40,	acc_prob:0.000
step:237,	mode:swap_nodes,	new_error:1.60,	last_error:1.40,	acc_prob:0.000
